layer,cos,cos_shift_vs_mean,cos_dir_vs_mean,cos_after_mean_projected_out,shift_frac_kept_after_projection,cos_drop_top8_mean_coords,random_dir_abs_cos_p95_after_projection
0,0.3151264568381316,0.1108415624603755,-0.03653728671595424,0.32136981843078083,0.9938380890882135,0.30734749704223846,0.042119960662073685
1,0.3154573460341127,-0.02259060493661037,-0.01742275699047748,0.315192022582571,0.9997447997104338,0.3118341761790244,0.03797056649761021
2,0.31614127244117746,0.0659069438231114,0.13025358044711383,0.31087524715889797,0.9978257736716988,0.2876224267489686,0.04012295778062568
3,0.29826813534437135,0.11185888547391372,0.13286755916805126,0.28774679699449884,0.9937241012093715,0.2721458786425132,0.03448228810408329
4,0.5182924378435212,0.1745730437183452,0.10705563507874515,0.5103276872700223,0.9846442258510752,0.49659233248715473,0.04189464812038617
5,0.5297572541733947,0.11268227537365594,0.132291070604625,0.5227449097085144,0.9936310705661088,0.5144433419714992,0.03799609488862325
6,0.5716959822180708,0.11011911106821692,0.18374175979631893,0.5644467597291709,0.99391839752997,0.5630519199208398,0.03481399872460154
7,0.5398115251873123,0.18011049759597197,0.16926554758113607,0.5253736971991526,0.9836463834055762,0.5186419629385358,0.03368538741474798
8,0.5123009823617518,0.20122784813105166,0.025601650076304664,0.5179096234067904,0.9795444610252575,0.5105755911908036,0.0388628230392175
9,0.5069038217976735,0.1310675320293415,-0.1197789748204933,0.5309731476700913,0.9913734419737732,0.5382026729954916,0.03877744605114629
10,0.4601501706329929,0.2098554379144346,-0.1883569634679843,0.5203722586658558,0.9777324246346142,0.5239000535344193,0.04158142190765335
11,0.3974182790735905,0.13734640673168727,-0.294976770587057,0.4627108224298627,0.9905230760552047,0.4685543912244576,0.03421574781126034
12,0.39655282408687803,0.06263955226548842,-0.4377746165764502,0.4724905691954559,0.9980362149864304,0.46760378361911115,0.03493419970043343
13,0.38878375128468207,-0.09935151527660256,-0.5323497803551189,0.3987647506871747,0.9950523987598457,0.3993106927214791,0.03923589927921778
14,0.37673068111754887,-0.2640113199082797,-0.5788178084547413,0.2846908507894761,0.9645195811404784,0.2876618300853451,0.037251113679659935
15,0.4607132590390286,-0.3723611733999316,-0.5261231987585094,0.3355136658329906,0.9280879028389569,0.3466354858712234,0.037155386824266064
16,0.4773206120497465,-0.34987406539979493,-0.5630556477771359,0.3620858821477505,0.9367967430393677,0.3560245019242453,0.03864560920914907
17,0.4637995035328875,-0.3640800031021836,-0.48708934723447234,0.35217088775629996,0.9313676774581429,0.3584094845772733,0.03699403145672728
18,0.4282248644829534,-0.36618607327264263,-0.4149932999749518,0.3263057537466898,0.9305416483607901,0.3378302026101595,0.035530169106234
19,0.4079695644646294,-0.2834898605863787,-0.29193115856138313,0.35456766391563843,0.95897523360578,0.36313768279414466,0.0367736721222627
20,0.468232209273507,-0.2624347433975502,-0.2940526125691334,0.42401326136166895,0.9649497423391737,0.4403012364080236,0.03862981768067636
21,0.4326640708649772,-0.2968249869174887,-0.004849515592916893,0.45158161103368205,0.9549318964759683,0.4697110849493186,0.03853222981176153
22,0.4395751526155389,-0.06854851980846595,0.14074761367425756,0.45480975460628803,0.9976477837451675,0.44184023019285956,0.03531653846094296
23,0.5740458113473504,-0.1252987206234226,-0.43421524592546146,0.5814405574803947,0.9921190606914728,0.594863227158883,0.04396200707605788
24,0.6290536884417609,-0.1570976309489372,-0.5110911357047163,0.6464746330103438,0.9875830771686931,0.6522054154772333,0.035868064397624466
25,0.5878738519631647,-0.15636794599940593,-0.5912027792564821,0.6219276451108737,0.9876988738566636,0.622924925029828,0.03461123493236791
26,0.5980548433657932,-0.09031067034342122,-0.5355611819656313,0.6535769414254281,0.9959136422425575,0.6495125503440748,0.03412195811204338
27,0.5924885489644568,0.01014802917691988,-0.44968534144991346,0.6684856441311434,0.9999485074260516,0.6626399479393995,0.041003337776812955
28,0.5548051098264261,0.11857527986861098,-0.4247101909923546,0.6731969628653971,0.9929450654360193,0.6811851604969924,0.03764844393656558
29,0.7268368245733763,0.034678065753785264,-0.2350938302447159,0.7566383046049057,0.9993985349968881,0.7615395763439973,0.0357198717446866
30,0.7322515804882548,-0.17160946965538534,-0.5285999438386351,0.7671357302051832,0.9851650571771218,0.7707776629004708,0.03507482531389189
31,0.7638432164915966,-0.2926907417355797,-0.6099057896437966,0.7724375793073792,0.9562071582959658,0.7772602538416248,0.039535834824409984
32,0.777548246426701,-0.328257401510191,-0.6258101654252726,0.7765416206055438,0.9445883114823005,0.781932219465933,0.036766851793091124
33,0.7500055711640198,-0.2270013127641401,-0.5864195103230642,0.7819970017530561,0.9738944521460317,0.782368141216903,0.03485985633829627
34,0.7052268434149794,-0.13251057686171305,-0.5843992803208699,0.780529196204892,0.9911815913292059,0.788404253210036,0.037694957864197014
35,0.6839385264483514,-0.14202854526424988,-0.5789893701639108,0.7455434448505749,0.9898625623275767,0.7534305362931105,0.04258161319026893
36,0.6090841977898561,-0.048116143988338175,-0.5701881354169134,0.7088416273157948,0.9988417475677037,0.7150383920338745,0.04123917595774326
37,0.6021171949677169,-0.044009371244440106,-0.5805818484813399,0.7088233629851763,0.9990311182538105,0.7158456246182124,0.03233818518344111
38,0.6032769040887034,-0.061604119086522295,-0.603411771424139,0.7112620426868794,0.9981006625109131,0.7181751082118247,0.042181091818829064
39,0.5659968727909969,-0.017749891812788673,-0.6212556543174504,0.7083352119291982,0.9998424582602973,0.7163180377693175,0.037849866515294914
40,0.4629107701661176,0.09321855627357169,-0.6069083945169901,0.6564875716522797,0.9956456702807948,0.6838037664296772,0.040119954083640615
41,0.49419121778162056,0.25333491680519304,-0.5931600504845508,0.8274800939848759,0.9673786330976527,0.8107068771779476,0.038157031948378044
